Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.voltage_input,state.temperature_pcb,state.current_motor,state.current_input,state.speed,state.duty_cycle,state.charge_drawn,state.charge_regen,state.energy_drawn,state.energy_regen,state.displacement,state.distance_traveled,state.fault_code
1645707122.6825166,79166,1645707122,680783919,,0.0,0.0,0.34,0.0,198.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,107
1645707122.703574,79167,1645707122,700883864,,0.0,0.0,-0.14,0.0,201.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,40
1645707122.7218468,79168,1645707122,720845637,,0.0,0.0,-0.35,0.0,208.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,75
1645707122.7429836,79169,1645707122,740584630,,0.0,0.0,-0.33,0.0,215.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,194
1645707122.7620237,79170,1645707122,760432870,,0.0,0.0,-0.34,0.0,224.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,38
1645707122.7832835,79171,1645707122,781073601,,0.0,0.0,-0.35,0.0,226.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,76
1645707122.8021324,79172,1645707122,800750485,,0.0,0.0,-0.36,0.0,230.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,229
1645707122.8220913,79173,1645707122,820332682,,0.0,0.0,0.04,0.0,226.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,160
1645707122.842902,79174,1645707122,841119970,,0.0,0.0,0.35,0.0,222.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,249
1645707122.8620245,79175,1645707122,860725495,,0.0,0.0,0.34,0.0,216.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,36
1645707122.8849704,79176,1645707122,881694891,,0.0,0.0,0.35,0.0,207.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,17
1645707122.9049578,79177,1645707122,901048294,,0.0,0.0,0.35,0.0,203.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,50
1645707122.9229445,79178,1645707122,920302788,,0.0,0.0,0.34,0.0,200.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,92
1645707122.9430413,79179,1645707122,941052605,,0.0,0.0,0.34,0.0,195.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,63
1645707122.9640117,79180,1645707122,962009168,,0.0,0.0,0.34,0.0,198.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,242
1645707122.9818733,79181,1645707122,980564416,,0.0,0.0,-0.06,0.0,200.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,104
1645707123.0048454,79182,1645707123,1738958,,0.0,0.0,-0.34,0.0,207.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,233
1645707123.0226326,79183,1645707123,20385179,,0.0,0.0,-0.33,0.0,215.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,106
1645707123.0443711,79184,1645707123,41856066,,0.0,0.0,-0.33,0.0,223.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,7
1645707123.0632224,79185,1645707123,60455824,,0.0,0.0,-0.34,0.0,225.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,243
1645707123.083946,79186,1645707123,82848128,,0.0,0.0,-0.36,0.0,230.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,100
1645707123.1020532,79187,1645707123,100858781,,0.0,0.0,-0.01,0.0,226.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,212
1645707123.1208084,79188,1645707123,120272215,,0.0,0.0,0.35,0.0,223.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,252
1645707123.141665,79189,1645707123,140852307,,0.0,0.0,0.34,0.0,217.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,17
1645707123.1620092,79190,1645707123,160911517,,0.0,0.0,0.34,0.0,208.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,115
1645707123.1811318,79191,1645707123,180206458,,0.0,0.0,0.35,0.0,203.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,27
1645707123.2028697,79192,1645707123,201538500,,0.0,0.0,0.34,0.0,200.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,214
1645707123.2246482,79193,1645707123,221910086,,0.0,0.0,0.34,0.0,195.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,189
1645707123.2447104,79194,1645707123,241067879,,0.0,0.0,0.34,0.0,198.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,55
1645707123.262987,79195,1645707123,260469537,,0.0,0.0,0.04,0.0,200.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,235
1645707123.281391,79196,1645707123,280281201,,0.0,0.0,-0.35,0.0,206.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,164
1645707123.3021162,79197,1645707123,300551830,,0.0,0.0,-0.36,0.0,214.0,0.0,8257536.0,4259840.0,0.0,0.0,0.0,54788096.0,182
1645707123.3215168,79198,1645707123,320434980,,0.0,0.0,-0.35,0.0,222.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,37
1645707123.3421721,79199,1645707123,340331218,,0.0,0.0,-0.33,0.0,226.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,69
1645707123.3616893,79200,1645707123,360805681,,0.0,0.0,-0.34,0.0,229.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,83
1645707123.3820477,79201,1645707123,380306057,,0.0,0.0,-0.14,0.0,227.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,246
1645707123.4046073,79202,1645707123,401797839,,0.0,0.0,0.34,0.0,223.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,89
1645707123.4247687,79203,1645707123,421037229,,0.0,0.0,0.36,0.0,217.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,216
1645707123.4425626,79204,1645707123,440810078,,0.0,0.0,0.35,0.0,208.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,42
1645707123.463506,79205,1645707123,461023396,,0.0,0.0,0.36,0.0,203.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,182
1645707123.4844327,79206,1645707123,481151597,,0.0,0.0,0.34,0.0,200.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,45
